Country,Rating based Default Spread,Total Equity Risk Premium,Country Risk Premium
Abu Dhabi,0.56%,6.65%,0.56%
Albania,5.08%,12.21%,5.08%
Andorra (Principality of),2.15%,8.60%,2.15%
Angola,7.34%,14.99%,7.34%
Argentina,6.21%,13.60%,6.21%
Armenia,5.08%,12.21%,5.08%
Aruba,1.80%,8.18%,1.80%
Australia,0.00%,5.96%,0.00%
Austria,0.45%,6.51%,0.45%
Azerbaijan,3.39%,10.13%,3.39%
Bahamas,2.48%,9.02%,2.48%
Bahrain,6.21%,13.60%,6.21%
Bangladesh,4.06%,10.96%,4.06%
Barbados,11.28%,19.83%,11.28%
Belarus,7.34%,14.99%,7.34%
Belgium,0.68%,6.80%,0.68%
Belize,7.34%,14.99%,7.34%
Benin,5.08%,12.21%,5.08%
Bermuda,0.96%,7.14%,0.96%
Bolivia,4.06%,10.96%,4.06%
Bosnia and Herzegovina,7.34%,14.99%,7.34%
Botswana,0.96%,7.14%,0.96%
Brazil,3.39%,10.13%,3.39%
Bulgaria,2.15%,8.60%,2.15%
Burkina Faso,6.21%,13.60%,6.21%
Cambodia,6.21%,13.60%,6.21%
Cameroon,6.21%,13.60%,6.21%
Canada,0.00%,5.96%,0.00%
Cape Verde,6.21%,13.60%,6.21%
Cayman Islands,0.68%,6.80%,0.68%
Chile,0.79%,6.94%,0.79%
China,0.79%,6.94%,0.79%
Colombia,2.15%,8.60%,2.15%
Congo (Democratic Republic of),7.34%,14.99%,7.34%
Congo (Republic of),10.16%,18.46%,10.16%
Cook Islands,5.08%,12.21%,5.08%
Costa Rica,5.08%,12.21%,5.08%
Côte d'Ivoire,4.06%,10.96%,4.06%
Croatia,3.39%,10.13%,3.39%
Cuba,10.16%,18.46%,10.16%
Curacao,1.35%,7.63%,1.35%
Cyprus,3.39%,10.13%,3.39%
Czech Republic,0.79%,6.94%,0.79%
Denmark,0.00%,5.96%,0.00%
Dominican Republic,4.06%,10.96%,4.06%
Ecuador,7.34%,14.99%,7.34%
Egypt,7.34%,14.99%,7.34%
El Salvador,8.46%,16.37%,8.46%
Estonia,0.79%,6.94%,0.79%
Ethiopia,5.08%,12.21%,5.08%
Fiji,4.06%,10.96%,4.06%
Finland,0.45%,6.51%,0.45%
France,0.56%,6.65%,0.56%
Gabon,8.46%,16.37%,8.46%
Georgia,3.39%,10.13%,3.39%
Germany,0.00%,5.96%,0.00%
Ghana,7.34%,14.99%,7.34%
Greece,7.34%,14.99%,7.34%
Guatemala,2.82%,9.43%,2.82%
Guernsey (States of),0.68%,6.80%,0.68%
Honduras,5.08%,12.21%,5.08%
Hong Kong,0.56%,6.65%,0.56%
Hungary,2.48%,9.02%,2.48%
Iceland,1.35%,7.63%,1.35%
India,2.15%,8.60%,2.15%
Indonesia,2.15%,8.60%,2.15%
Iraq,8.46%,16.37%,8.46%
Ireland,0.96%,7.14%,0.96%
Isle of Man,0.56%,6.65%,0.56%
Israel,0.79%,6.94%,0.79%
Italy,2.48%,9.02%,2.48%
Jamaica,7.34%,14.99%,7.34%
Japan,0.79%,6.94%,0.79%
Jersey (States of),0.68%,6.80%,0.68%
Jordan,5.08%,12.21%,5.08%
Kazakhstan,2.48%,9.02%,2.48%
Kenya,6.21%,13.60%,6.21%
Korea,0.56%,6.65%,0.56%
Kuwait,0.56%,6.65%,0.56%
Kyrgyzstan,6.21%,13.60%,6.21%
Latvia,1.35%,7.63%,1.35%
Lebanon,7.34%,14.99%,7.34%
Liechtenstein,0.00%,5.96%,0.00%
Lithuania,1.35%,7.63%,1.35%
Luxembourg,0.00%,5.96%,0.00%
Macao,0.68%,6.80%,0.68%
Macedonia,4.06%,10.96%,4.06%
Malaysia,1.35%,7.63%,1.35%
Maldives,6.21%,13.60%,6.21%
Malta,1.35%,7.63%,1.35%
Mauritius,1.80%,8.18%,1.80%
Mexico,1.35%,7.63%,1.35%
Moldova,7.34%,14.99%,7.34%
Mongolia,7.34%,14.99%,7.34%
Montenegro,5.08%,12.21%,5.08%
Montserrat,2.48%,9.02%,2.48%
Morocco,2.82%,9.43%,2.82%
Mozambique,11.28%,19.83%,11.28%
Namibia,2.82%,9.43%,2.82%
Netherlands,0.00%,5.96%,0.00%
New Zealand,0.00%,5.96%,0.00%
Nicaragua,6.21%,13.60%,6.21%
Nigeria,6.21%,13.60%,6.21%
Norway,0.00%,5.96%,0.00%
Oman,2.48%,9.02%,2.48%
Pakistan,7.34%,14.99%,7.34%
Panama,2.15%,8.60%,2.15%
Papua New Guinea,6.21%,13.60%,6.21%
Paraguay,2.82%,9.43%,2.82%
Peru,1.35%,7.63%,1.35%
Philippines,2.15%,8.60%,2.15%
Poland,0.96%,7.14%,0.96%
Portugal,2.48%,9.02%,2.48%
Qatar,0.68%,6.80%,0.68%
Ras Al Khaimah (Emirate of),0.96%,7.14%,0.96%
Romania,2.48%,9.02%,2.48%
Russia,2.82%,9.43%,2.82%
Rwanda,6.21%,13.60%,6.21%
Saudi Arabia,0.79%,6.94%,0.79%
Senegal,4.06%,10.96%,4.06%
Serbia,4.06%,10.96%,4.06%
Sharjah,1.35%,7.63%,1.35%
Singapore,0.00%,5.96%,0.00%
Slovakia,0.96%,7.14%,0.96%
Slovenia,1.80%,8.18%,1.80%
Solomon Islands,7.34%,14.99%,7.34%
South Africa,2.48%,9.02%,2.48%
Spain,1.80%,8.18%,1.80%
Sri Lanka,5.08%,12.21%,5.08%
St. Maarten,2.15%,8.60%,2.15%
St. Vincent & the Grenadines,7.34%,14.99%,7.34%
Suriname,6.21%,13.60%,6.21%
Swaziland,6.21%,13.60%,6.21%
Sweden,0.00%,5.96%,0.00%
Switzerland,0.00%,5.96%,0.00%
